timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
256.0,0.08211541175842285,10.0,31.0,17.700000762939453,9.0,31.0,17.7,9.0
512.0,0.11905694007873535,23.0,31.0,18.39130401611328,9.0,31.0,18.391304347826086,9.0
768.0,0.15593719482421875,36.0,44.0,19.33333396911621,9.0,44.0,19.333333333333332,9.0
1024.0,0.19058442115783691,48.0,44.0,20.549999237060547,9.0,44.0,20.55,9.0
1280.0,0.22584056854248047,61.0,44.0,20.950000762939453,9.0,44.0,20.95,9.0
1536.0,0.2580897808074951,74.0,36.0,19.799999237060547,9.0,36.0,19.8,9.0
1792.0,0.28985595703125,82.0,50.0,19.225000381469727,10.0,50.0,19.225,10.0
2048.0,0.32181787490844727,93.0,53.0,20.700000762939453,9.0,53.0,20.7,9.0
2304.0,0.3529839515686035,103.0,65.0,24.625,9.0,65.0,24.625,9.0
2560.0,0.38437819480895996,112.0,65.0,24.600000381469727,9.0,65.0,24.6,9.0
2816.0,0.41704678535461426,124.0,65.0,26.549999237060547,9.0,65.0,26.55,9.0
3072.0,0.4499244689941406,137.0,53.0,23.450000762939453,11.0,53.0,23.45,11.0
3328.0,0.48308539390563965,148.0,49.0,22.850000381469727,11.0,49.0,22.85,11.0
3584.0,0.5163302421569824,161.0,48.0,20.700000762939453,9.0,48.0,20.7,9.0
3840.0,0.5490458011627197,166.0,48.0,22.075000762939453,9.0,48.0,22.075,9.0
4096.0,0.5821473598480225,177.0,52.0,25.399999618530273,9.0,52.0,25.4,9.0
4352.0,0.6140158176422119,191.0,52.0,23.825000762939453,9.0,52.0,23.825,9.0
4608.0,0.6460375785827637,198.0,59.0,24.424999237060547,9.0,59.0,24.425,9.0
4864.0,0.6785659790039062,209.0,59.0,24.899999618530273,9.0,59.0,24.9,9.0
5120.0,0.7109658718109131,221.0,65.0,24.399999618530273,11.0,65.0,24.4,11.0
5376.0,0.7428784370422363,231.0,65.0,25.399999618530273,11.0,65.0,25.4,11.0
5632.0,0.7755589485168457,241.0,65.0,24.725000381469727,9.0,65.0,24.725,9.0
5888.0,0.8082256317138672,253.0,68.0,23.600000381469727,9.0,68.0,23.6,9.0
6144.0,0.8420259952545166,262.0,68.0,24.274999618530273,9.0,68.0,24.275,9.0
6400.0,0.8753476142883301,271.0,68.0,25.024999618530273,9.0,68.0,25.025,9.0
6656.0,0.908158540725708,280.0,68.0,26.174999237060547,9.0,68.0,26.175,9.0
6912.0,0.9418449401855469,290.0,65.0,26.049999237060547,9.0,65.0,26.05,9.0
7168.0,0.9784126281738281,298.0,65.0,26.875,9.0,65.0,26.875,9.0
7424.0,1.0114881992340088,308.0,65.0,27.225000381469727,9.0,65.0,27.225,9.0
7680.0,1.043764591217041,317.0,76.0,28.899999618530273,9.0,76.0,28.9,9.0
7936.0,1.075735092163086,326.0,76.0,28.875,9.0,76.0,28.875,9.0
8192.0,1.1080050468444824,336.0,76.0,28.0,10.0,76.0,28.0,10.0
8448.0,1.14095139503479,345.0,76.0,28.274999618530273,10.0,76.0,28.275,10.0
8704.0,1.1750199794769287,358.0,56.0,24.924999237060547,12.0,56.0,24.925,12.0
8960.0,1.2085986137390137,366.0,56.0,25.600000381469727,12.0,56.0,25.6,12.0
9216.0,1.240971565246582,379.0,57.0,24.200000762939453,11.0,57.0,24.2,11.0
9472.0,1.2731475830078125,387.0,57.0,22.225000381469727,10.0,57.0,22.225,10.0
9728.0,1.30515456199646,400.0,71.0,24.149999618530273,10.0,71.0,24.15,10.0
9984.0,1.337050199508667,411.0,71.0,24.575000762939453,10.0,71.0,24.575,10.0
10240.0,1.3691468238830566,424.0,71.0,22.399999618530273,10.0,71.0,22.4,10.0
10496.0,1.4011218547821045,434.0,44.0,21.100000381469727,11.0,44.0,21.1,11.0
10752.0,1.4329900741577148,443.0,77.0,22.674999237060547,10.0,77.0,22.675,10.0
11008.0,1.4653174877166748,455.0,77.0,23.774999618530273,10.0,77.0,23.775,10.0
11264.0,1.4978342056274414,467.0,77.0,24.375,10.0,77.0,24.375,10.0
11520.0,1.5302369594573975,474.0,77.0,26.924999237060547,10.0,77.0,26.925,10.0
11776.0,1.5625908374786377,480.0,71.0,26.75,10.0,71.0,26.75,10.0
12032.0,1.594869613647461,489.0,53.0,27.799999237060547,10.0,53.0,27.8,10.0
12288.0,1.6280035972595215,497.0,53.0,29.299999237060547,11.0,53.0,29.3,11.0
12544.0,1.661783218383789,506.0,57.0,30.924999237060547,11.0,57.0,30.925,11.0
12800.0,1.694678544998169,515.0,57.0,30.825000762939453,12.0,57.0,30.825,12.0
13056.0,1.7280817031860352,523.0,66.0,31.649999618530273,12.0,66.0,31.65,12.0
13312.0,1.7605552673339844,530.0,66.0,29.600000381469727,12.0,66.0,29.6,12.0
13568.0,1.79317307472229,537.0,74.0,32.29999923706055,12.0,74.0,32.3,12.0
