timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
256.0,0.09073758125305176,10.0,20.0,14.800000190734863,8.0,20.0,14.8,8.0
512.0,0.13144731521606445,21.0,47.0,19.5238094329834,8.0,47.0,19.523809523809526,8.0
768.0,0.17055988311767578,31.0,47.0,21.322580337524414,8.0,47.0,21.322580645161292,8.0
1024.0,0.22918033599853516,42.0,55.0,22.549999237060547,10.0,55.0,22.55,10.0
1280.0,0.2695119380950928,54.0,55.0,22.625,9.0,55.0,22.625,9.0
1536.0,0.30725836753845215,64.0,55.0,23.700000762939453,9.0,55.0,23.7,9.0
1792.0,0.34392642974853516,74.0,61.0,23.450000762939453,9.0,61.0,23.45,9.0
2048.0,0.38110828399658203,86.0,61.0,23.625,10.0,61.0,23.625,10.0
2304.0,0.4206881523132324,99.0,61.0,21.75,9.0,61.0,21.75,9.0
2560.0,0.4597890377044678,112.0,66.0,21.350000381469727,9.0,66.0,21.35,9.0
2816.0,0.49960947036743164,125.0,66.0,20.924999237060547,9.0,66.0,20.925,9.0
3072.0,0.5427453517913818,139.0,66.0,19.700000762939453,9.0,66.0,19.7,9.0
3328.0,0.5808541774749756,149.0,41.0,18.700000762939453,10.0,41.0,18.7,10.0
3584.0,0.6205861568450928,161.0,69.0,20.5,10.0,69.0,20.5,10.0
3840.0,0.658984899520874,168.0,69.0,22.125,10.0,69.0,22.125,10.0
4096.0,0.6979076862335205,179.0,69.0,24.674999237060547,10.0,69.0,24.675,10.0
4352.0,0.7374465465545654,191.0,69.0,26.774999618530273,10.0,69.0,26.775,10.0
4608.0,0.7768621444702148,202.0,63.0,26.049999237060547,9.0,63.0,26.05,9.0
4864.0,0.8169412612915039,211.0,44.0,22.475000381469727,9.0,44.0,22.475,9.0
5120.0,0.8560965061187744,223.0,44.0,23.649999618530273,9.0,44.0,23.65,9.0
5376.0,0.893308162689209,238.0,54.0,22.25,9.0,54.0,22.25,9.0
5632.0,0.9307138919830322,246.0,54.0,21.399999618530273,9.0,54.0,21.4,9.0
5888.0,0.9676454067230225,258.0,63.0,22.524999618530273,9.0,63.0,22.525,9.0
6144.0,1.0048365592956543,269.0,63.0,22.399999618530273,9.0,63.0,22.4,9.0
6400.0,1.0413732528686523,279.0,63.0,23.774999618530273,9.0,63.0,23.775,9.0
6656.0,1.0794670581817627,292.0,62.0,23.850000381469727,9.0,62.0,23.85,9.0
6912.0,1.1163296699523926,303.0,62.0,22.524999618530273,10.0,62.0,22.525,10.0
7168.0,1.153564214706421,316.0,50.0,21.25,9.0,50.0,21.25,9.0
7424.0,1.190220594406128,327.0,61.0,22.25,9.0,61.0,22.25,9.0
7680.0,1.227238416671753,336.0,61.0,21.299999237060547,8.0,61.0,21.3,8.0
7936.0,1.264885425567627,347.0,77.0,22.549999237060547,8.0,77.0,22.55,8.0
8192.0,1.3020625114440918,356.0,77.0,23.700000762939453,8.0,77.0,23.7,8.0
8448.0,1.3380281925201416,368.0,84.0,24.825000762939453,8.0,84.0,24.825,8.0
8704.0,1.3743054866790771,379.0,84.0,25.799999237060547,11.0,84.0,25.8,11.0
8960.0,1.4114198684692383,391.0,84.0,25.100000381469727,11.0,84.0,25.1,11.0
9216.0,1.4491264820098877,400.0,84.0,23.725000381469727,9.0,84.0,23.725,9.0
9472.0,1.4874382019042969,412.0,93.0,24.0,9.0,93.0,24.0,9.0
9728.0,1.5264205932617188,422.0,93.0,23.774999618530273,9.0,93.0,23.775,9.0
9984.0,1.5725970268249512,433.0,93.0,23.600000381469727,9.0,93.0,23.6,9.0
10240.0,1.6146388053894043,442.0,93.0,24.399999618530273,9.0,93.0,24.4,9.0
10496.0,1.6587233543395996,451.0,86.0,23.625,9.0,86.0,23.625,9.0
10752.0,1.697669267654419,460.0,86.0,27.274999618530273,10.0,86.0,27.275,10.0
11008.0,1.741011381149292,469.0,86.0,27.575000762939453,11.0,86.0,27.575,11.0
11264.0,1.7802019119262695,479.0,69.0,28.024999618530273,11.0,69.0,28.025,11.0
11520.0,1.82057785987854,489.0,73.0,29.225000381469727,11.0,73.0,29.225,11.0
11776.0,1.8585832118988037,502.0,73.0,25.100000381469727,12.0,73.0,25.1,12.0
12032.0,1.897237777709961,511.0,73.0,24.100000381469727,12.0,73.0,24.1,12.0
12288.0,1.9356436729431152,520.0,73.0,25.399999618530273,13.0,73.0,25.4,13.0
12544.0,1.9752418994903564,532.0,50.0,22.799999237060547,9.0,50.0,22.8,9.0
12800.0,2.012568235397339,542.0,71.0,24.725000381469727,9.0,71.0,24.725,9.0
13056.0,2.0504636764526367,554.0,71.0,24.799999237060547,9.0,71.0,24.8,9.0
13312.0,2.0895133018493652,564.0,71.0,23.799999237060547,10.0,71.0,23.8,10.0
13568.0,2.127838134765625,575.0,51.0,21.5,10.0,51.0,21.5,10.0
13824.0,2.168135404586792,590.0,65.0,22.850000381469727,10.0,65.0,22.85,10.0
14080.0,2.207287073135376,599.0,65.0,20.674999237060547,10.0,65.0,20.675,10.0
14336.0,2.2561562061309814,613.0,65.0,22.325000762939453,10.0,65.0,22.325,10.0
14592.0,2.299379348754883,621.0,65.0,22.549999237060547,10.0,65.0,22.55,10.0
14848.0,2.3416459560394287,635.0,42.0,22.100000381469727,10.0,42.0,22.1,10.0
15104.0,2.3822226524353027,643.0,42.0,23.100000381469727,10.0,42.0,23.1,10.0
15360.0,2.4212872982025146,648.0,50.0,25.0,11.0,50.0,25.0,11.0
15616.0,2.4693069458007812,654.0,72.0,28.950000762939453,11.0,72.0,28.95,11.0
15872.0,2.511061191558838,662.0,72.0,31.674999237060547,10.0,72.0,31.675,10.0
16128.0,2.549802303314209,670.0,74.0,32.724998474121094,10.0,74.0,32.725,10.0
16384.0,2.5877697467803955,678.0,74.0,33.625,10.0,74.0,33.625,10.0
16640.0,2.628382444381714,684.0,100.0,35.525001525878906,10.0,100.0,35.525,10.0
16896.0,2.677783727645874,690.0,100.0,34.900001525878906,10.0,100.0,34.9,10.0
17152.0,2.7214534282684326,695.0,138.0,35.04999923706055,10.0,138.0,35.05,10.0
17408.0,2.7608859539031982,702.0,138.0,38.125,10.0,138.0,38.125,10.0
17664.0,2.806051254272461,706.0,138.0,40.5,10.0,138.0,40.5,10.0
17920.0,2.8504128456115723,712.0,138.0,40.724998474121094,10.0,138.0,40.725,10.0
18176.0,2.8917365074157715,716.0,138.0,43.29999923706055,10.0,138.0,43.3,10.0
